Aaron Rodgers,QB,344.59,310.955833333333,33.6341666666667
Drew Brees,QB,340.24,310.955833333333,29.2841666666668
Colin Kaepernick,QB,332.49,310.955833333333,21.5341666666668
Tom Brady,QB,314.63,310.955833333333,3.67416666666674
Peyton Manning,QB,311.73,310.955833333333,0.774166666666758
Robert Griffin III,QB,310.51,310.955833333333,-0.445833333333269
Cam Newton,QB,305.99,310.955833333333,-4.96583333333325
Matt Ryan,QB,304.95,310.955833333333,-6.00583333333327
Russell Wilson,QB,303.43,310.955833333333,-7.52583333333325
Matthew Stafford,QB,300.33,310.955833333333,-10.6258333333333
Tony Romo,QB,287.48,310.955833333333,-23.4758333333332
Andrew Luck,QB,275.1,310.955833333333,-35.8558333333332
Eli Manning,QB,266.55,310.955833333333,-44.4058333333332
Ben Roethlisberger,QB,253.3,310.955833333333,-57.6558333333332
Joe Flacco,QB,249.87,310.955833333333,-61.0858333333332
Alex Smith,QB,249.79,310.955833333333,-61.1658333333333
Jake Locker,QB,249.23,310.955833333333,-61.7258333333333
Ryan Tannehill,QB,247.03,310.955833333333,-63.9258333333333
Andy Dalton,QB,245.81,310.955833333333,-65.1458333333333
Jay Cutler,QB,245.08,310.955833333333,-65.8758333333332
Josh Freeman,QB,242.48,310.955833333333,-68.4758333333333
Philip Rivers,QB,242.2,310.955833333333,-68.7558333333333
Carson Palmer,QB,230.98,310.955833333333,-79.9758333333333
Sam Bradford,QB,225.24,310.955833333333,-85.7158333333332
Matt Schaub,QB,224.63,310.955833333333,-86.3258333333333
Sam Bradford,QB,225.24,310.955833333333,-85.7158333333332
Matt Schaub,QB,224.63,310.955833333333,-86.3258333333333
Brandon Weeden,QB,209.93,310.955833333333,-101.025833333333
Christian Ponder,QB,159.57,310.955833333333,-151.385833333333
Matt Flynn,QB,152.28,310.955833333333,-158.675833333333
Michael Vick,QB,147.14,310.955833333333,-163.815833333333
EJ Manuel,QB,145.9,310.955833333333,-165.055833333333
Geno Smith,QB,125.13,310.955833333333,-185.825833333333
Blaine Gabbert,QB,118.2,310.955833333333,-192.755833333333
Nick Foles,QB,114.02,310.955833333333,-196.935833333333
Kevin Kolb,QB,81.78,310.955833333333,-229.175833333333
Chad Henne,QB,71.44,310.955833333333,-239.515833333333
Mark Sanchez,QB,65.46,310.955833333333,-245.495833333333
Tyler Wilson,QB,53.04,310.955833333333,-257.915833333333
Matt Cassel,QB,50.5,310.955833333333,-260.455833333333